PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH
0002-4455_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4455,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20010901,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,15,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4456_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-4456,HUMAN PRESCRIPTION DRUG,ZYPREXA,Zydis,Olanzapine,"TABLET, ORALLY DISINTEGRATING",ORAL,20010901,,NDA,NDA021086,Eli Lilly and Company,OLANZAPINE,20,mg/1,Atypical Antipsychotic [EPC],,N,20241231
0002-4462_21516130-0eb4-48d3-ba98-80465523793a,0002-4462,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",,N,20241231
0002-4463_21516130-0eb4-48d3-ba98-80465523793a,0002-4463,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,10,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",,N,20241231
0002-4464_21516130-0eb4-48d3-ba98-80465523793a,0002-4464,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20031126,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,20,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",,N,20241231
0002-4465_21516130-0eb4-48d3-ba98-80465523793a,0002-4465,HUMAN PRESCRIPTION DRUG,Cialis,,Tadalafil,"TABLET, FILM COATED",ORAL,20080107,,NDA,NDA021368,Eli Lilly and Company,TADALAFIL,2.5,mg/1,"Phosphodiesterase 5 Inhibitor [EPC], Phosphodiesterase 5 Inhibitors [MoA]",,N,20241231
0002-4479_44ded0f7-8c82-4875-ad44-db5b0354a094,0002-4479,HUMAN PRESCRIPTION DRUG,Olumiant,,baricitinib,"TABLET, FILM COATED",ORAL,20220510,,NDA,NDA207924,Eli Lilly and Company,BARICITINIB,4,mg/1,"Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",,N,20241231
0002-4483_1bfe414d-380c-400b-8ae2-7caa0877dcad,0002-4483,HUMAN PRESCRIPTION DRUG,Verzenio,,abemaciclib,TABLET,ORAL,20170928,,NDA,NDA208716,Eli Lilly and Company,ABEMACICLIB,50,mg/1,"Kinase Inhibitor [EPC], Kinase Inhibitors [MoA]",,N,20251231
0002-4491_5ef14cf2-d634-4a7b-9254-4cc480e8a48d,0002-4491,HUMAN PRESCRIPTION DRUG,Reyvow,,lasmiditan,TABLET,ORAL,20191011,,NDA,NDA211280,Eli Lilly and Company,LASMIDITAN,100,mg/1,,CV,N,20241231
0002-4732_44ded0f7-8c82-4875-ad44-db5b0354a094,0002-4732,HUMAN PRESCRIPTION DRUG,Olumiant,,baricitinib,"TABLET, FILM COATED",ORAL,20191008,,NDA,NDA207924,Eli Lilly and Company,BARICITINIB,1,mg/1,"Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",,N,20241231
0002-4815_1bfe414d-380c-400b-8ae2-7caa0877dcad,0002-4815,HUMAN PRESCRIPTION DRUG,Verzenio,,abemaciclib,TABLET,ORAL,20170928,,NDA,NDA208716,Eli Lilly and Company,ABEMACICLIB,100,mg/1,"Kinase Inhibitor [EPC], Kinase Inhibitors [MoA]",,N,20251231
0002-5337_1bfe414d-380c-400b-8ae2-7caa0877dcad,0002-5337,HUMAN PRESCRIPTION DRUG,Verzenio,,abemaciclib,TABLET,ORAL,20170928,,NDA,NDA208716,Eli Lilly and Company,ABEMACICLIB,150,mg/1,"Kinase Inhibitor [EPC], Kinase Inhibitors [MoA]",,N,20251231
0002-5340_16fba03c-8787-45b3-aa1b-1cf2b5c7610a,0002-5340,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,"TABLET, COATED",ORAL,20240410,,NDA,NDA218160,Eli Lilly and Company,SELPERCATINIB,40,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20251231
0002-5562_16fba03c-8787-45b3-aa1b-1cf2b5c7610a,0002-5562,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,"TABLET, COATED",ORAL,20240410,,NDA,NDA218160,Eli Lilly and Company,SELPERCATINIB,160,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20251231
0002-6082_16fba03c-8787-45b3-aa1b-1cf2b5c7610a,0002-6082,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,"TABLET, COATED",ORAL,20240410,,NDA,NDA218160,Eli Lilly and Company,SELPERCATINIB,80,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20251231
0002-6120_16fba03c-8787-45b3-aa1b-1cf2b5c7610a,0002-6120,HUMAN PRESCRIPTION DRUG,RETEVMO,,selpercatinib,"TABLET, COATED",ORAL,20240410,,NDA,NDA218160,Eli Lilly and Company,SELPERCATINIB,120,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], Multidrug and Toxin Extrusion Transporter 1 Inhibitors [MoA], P-Glycoprotein Inhibitors [MoA], Rearranged during Transfection (RET) Inhibitors [MoA]",,N,20251231
0002-6145_f88837b4-7c0d-4200-aba0-e92561310058,0002-6145,HUMAN PRESCRIPTION DRUG,Baqsimi,,glucagon,POWDER,NASAL,20190724,,NDA,NDA210134,Eli Lilly and Company,GLUCAGON,3,mg/1,"Antihypoglycemic Agent [EPC], Decreased GI Motility [PE], Decreased GI Smooth Muscle Tone [PE], Decreased Glycolysis [PE], Gastrointestinal Motility Inhibitor [EPC], Increased Gluconeogenesis [PE], Increased Glycogenolysis [PE]",,N,20241231
0002-6216_1bfe414d-380c-400b-8ae2-7caa0877dcad,0002-6216,HUMAN PRESCRIPTION DRUG,Verzenio,,abemaciclib,TABLET,ORAL,20170928,,NDA,NDA208716,Eli Lilly and Company,ABEMACICLIB,200,mg/1,"Kinase Inhibitor [EPC], Kinase Inhibitors [MoA]",,N,20251231
0002-6885_14a2ffe3-1d7e-4d1b-ac44-1698d5f92da4,0002-6885,HUMAN PRESCRIPTION DRUG,Baricitinib,,baricitinib,"TABLET, FILM COATED",ORAL,20211220,,EMERGENCY USE AUTHORIZATION,,Eli Lilly and Company,BARICITINIB,4,mg/1,"Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",,N,20241231
0002-6902_a06ae364-e7d8-48ee-943d-a20a29045559,0002-6902,HUMAN PRESCRIPTION DRUG,JAYPIRCA,,pirtobrutinib,"TABLET, COATED",ORAL,20230127,,NDA,NDA216059,Eli Lilly and Company,PIRTOBRUTINIB,50,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Bruton's Tyrosine Kinase Inhibitors [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], P-Glycoprotein Inhibitors [MoA]",,N,20251231
0002-7026_a06ae364-e7d8-48ee-943d-a20a29045559,0002-7026,HUMAN PRESCRIPTION DRUG,JAYPIRCA,,pirtobrutinib,"TABLET, COATED",ORAL,20230127,,NDA,NDA216059,Eli Lilly and Company,PIRTOBRUTINIB,100,mg/1,"Breast Cancer Resistance Protein Inhibitors [MoA], Bruton's Tyrosine Kinase Inhibitors [MoA], Cytochrome P450 2C19 Inhibitors [MoA], Cytochrome P450 2C8 Inhibitors [MoA], Cytochrome P450 3A Inhibitors [MoA], Kinase Inhibitor [EPC], P-Glycoprotein Inhibitors [MoA]",,N,20251231
0002-7510_e57e8ab9-295b-4fb7-b723-e7b008117e9a,0002-7510,HUMAN PRESCRIPTION DRUG,Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,19960614,,BLA,BLA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",,N,20241231
0002-7511_6159de02-43c9-4b4b-83be-41246382761e,0002-7511,HUMAN PRESCRIPTION DRUG,Humalog,Mix75/25,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,19991222,,BLA,BLA021017,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",,N,20241231
0002-7516_e57e8ab9-295b-4fb7-b723-e7b008117e9a,0002-7516,HUMAN PRESCRIPTION DRUG,Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,19980220,,BLA,BLA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",,N,20241231
0002-7533_e57e8ab9-295b-4fb7-b723-e7b008117e9a,0002-7533,HUMAN PRESCRIPTION DRUG,Humalog,,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,20230802,,BLA,BLA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",,N,20241231
0002-7575_dfda775c-be8e-474b-bacd-67823936663e,0002-7575,HUMAN PRESCRIPTION DRUG,Omvoh,,mirikizumab-mrkz,"INJECTION, SOLUTION",INTRAVENOUS,20231026,,BLA,BLA761279,Eli Lilly and Company,MIRIKIZUMAB,20,mg/mL,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",,N,20251231
0002-7589_33e6bc41-eab2-4967-8ebd-6174f33b1ff0,0002-7589,HUMAN PRESCRIPTION DRUG,Bebtelovimab,,Bebtelovimab,"INJECTION, SOLUTION",INTRAVENOUS,20220211,20240828,EMERGENCY USE AUTHORIZATION,,Eli Lilly and Company,BEBTELOVIMAB,87.5,mg/mL,,,N,
0002-7597_c5ba5946-0f0a-445b-b370-6b98a6dbf6a3,0002-7597,HUMAN PRESCRIPTION DRUG,ZYPREXA,Intramuscular,Olanzapine,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR,20040401,,NDA,NDA021253,Eli Lilly and Company,OLANZAPINE,10,mg/2mL,Atypical Antipsychotic [EPC],,N,20241231
0002-7623_3af0bc84-13d6-46aa-a4c0-c62410b73bc6,0002-7623,HUMAN PRESCRIPTION DRUG,Alimta,,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20040204,,NDA,NDA021462,Eli Lilly and Company,PEMETREXED DISODIUM HEPTAHYDRATE,500,mg/20mL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",,N,20241231
0002-7635_41196744-bae3-4fee-86d2-2df9f7dc6a04,0002-7635,HUMAN PRESCRIPTION DRUG,ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20091211,,NDA,NDA022173,Eli Lilly and Company,,,,,,N,20241231
0002-7636_41196744-bae3-4fee-86d2-2df9f7dc6a04,0002-7636,HUMAN PRESCRIPTION DRUG,ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20091211,,NDA,NDA022173,Eli Lilly and Company,,,,,,N,20241231
0002-7637_41196744-bae3-4fee-86d2-2df9f7dc6a04,0002-7637,HUMAN PRESCRIPTION DRUG,ZYPREXA,Relprevv,Olanzapine pamoate,KIT,INTRAMUSCULAR,20091211,,NDA,NDA022173,Eli Lilly and Company,,,,,,N,20241231
0002-7640_3af0bc84-13d6-46aa-a4c0-c62410b73bc6,0002-7640,HUMAN PRESCRIPTION DRUG,Alimta,,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20070907,,NDA,NDA021462,Eli Lilly and Company,PEMETREXED DISODIUM HEPTAHYDRATE,100,mg/4mL,"Folate Analog Metabolic Inhibitor [EPC], Folic Acid Metabolism Inhibitors [MoA]",,N,20241231
0002-7669_7ba2dde4-bb6d-4c7b-af6a-361ed01bfdf6,0002-7669,HUMAN PRESCRIPTION DRUG,CYRAMZA,,ramucirumab,SOLUTION,INTRAVENOUS,20140421,,BLA,BLA125477,Eli Lilly and Company,RAMUCIRUMAB,10,mg/mL,"VEGFR2 Inhibitors [MoA], Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC]",,N,20241231
0002-7678_7ba2dde4-bb6d-4c7b-af6a-361ed01bfdf6,0002-7678,HUMAN PRESCRIPTION DRUG,CYRAMZA,,ramucirumab,SOLUTION,INTRAVENOUS,20140421,,BLA,BLA125477,Eli Lilly and Company,RAMUCIRUMAB,10,mg/mL,"VEGFR2 Inhibitors [MoA], Vascular Endothelial Growth Factor Receptor 2 Antagonist [EPC]",,N,20241231
0002-7712_e57e8ab9-295b-4fb7-b723-e7b008117e9a,0002-7712,HUMAN PRESCRIPTION DRUG,Humalog,KwikPen,Insulin lispro,"INJECTION, SOLUTION",SUBCUTANEOUS,20150526,,BLA,BLA205747,Eli Lilly and Company,INSULIN LISPRO,200,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",,N,20241231
0002-7714_e57e8ab9-295b-4fb7-b723-e7b008117e9a,0002-7714,HUMAN PRESCRIPTION DRUG,Humalog,Junior KwikPen,Insulin lispro,"INJECTION, SOLUTION",SUBCUTANEOUS,20170606,,BLA,BLA020563,Eli Lilly and Company,INSULIN LISPRO,100,[iU]/mL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",,N,20241231
0002-7715_dbb5654d-96c0-4cce-adba-5ae8c36acf80,0002-7715,HUMAN PRESCRIPTION DRUG,BASAGLAR,KwikPen,Insulin glargine,"INJECTION, SOLUTION",SUBCUTANEOUS,20151216,,BLA,BLA205692,Eli Lilly and Company,INSULIN GLARGINE,100,[iU]/mL,"Insulin Analog [EPC], Insulin [CS]",,N,20241231
